timestamp,ok,http_status,n_locations,n_conectores,n_eventos_nuevos,archivo_crudo,error_tipo,error_mensaje
2026-09-01T18:56:23+00:00,1,200,652,2265,2265,snapshots/2026-09-01/1856.json.gz,,
2026-09-01T20:12:55+00:00,1,200,652,2265,172,snapshots/2026-09-01/2012.json.gz,,
2026-09-01T20:17:59+00:00,1,200,652,2265,25,snapshots/2026-09-01/2017.json.gz,,
2026-09-01T20:23:01+00:00,1,200,652,2265,45,snapshots/2026-09-01/2023.json.gz,,
2026-09-01T20:28:04+00:00,1,200,652,2265,38,snapshots/2026-09-01/2028.json.gz,,
2026-09-01T20:33:07+00:00,1,200,652,2265,25,snapshots/2026-09-01/2033.json.gz,,
2026-09-01T20:38:10+00:00,1,200,652,2265,42,snapshots/2026-09-01/2038.json.gz,,
2026-09-01T20:43:14+00:00,1,200,652,2265,29,snapshots/2026-09-01/2043.json.gz,,
2026-09-01T20:48:16+00:00,1,200,652,2265,27,snapshots/2026-09-01/2048.json.gz,,
2026-09-01T20:53:18+00:00,1,200,652,2265,35,snapshots/2026-09-01/2053.json.gz,,
2026-09-01T22:14:26+00:00,1,200,652,2265,145,snapshots/2026-09-01/2214.json.gz,,
2026-09-01T22:19:29+00:00,1,200,652,2265,27,snapshots/2026-09-01/2219.json.gz,,
2026-09-01T22:24:31+00:00,1,200,652,2265,32,snapshots/2026-09-01/2224.json.gz,,
2026-09-01T22:29:35+00:00,1,200,652,2265,43,snapshots/2026-09-01/2229.json.gz,,
2026-09-01T22:34:37+00:00,1,200,652,2265,54,snapshots/2026-09-01/2234.json.gz,,
2026-09-01T22:39:39+00:00,1,200,652,2265,32,snapshots/2026-09-01/2239.json.gz,,
2026-09-01T22:44:43+00:00,1,200,652,2265,25,snapshots/2026-09-01/2244.json.gz,,
2026-09-01T22:49:45+00:00,1,200,652,2265,20,snapshots/2026-09-01/2249.json.gz,,
2026-09-01T22:54:49+00:00,1,200,652,2265,33,snapshots/2026-09-01/2254.json.gz,,
2026-09-01T22:59:51+00:00,1,200,652,2265,25,snapshots/2026-09-01/2259.json.gz,,
2026-09-01T23:04:54+00:00,1,200,652,2265,20,snapshots/2026-09-01/2304.json.gz,,
2026-09-01T23:09:56+00:00,1,200,652,2265,23,snapshots/2026-09-01/2309.json.gz,,
2026-09-01T23:15:00+00:00,1,200,652,2265,17,snapshots/2026-09-01/2315.json.gz,,
2026-09-01T23:20:04+00:00,1,200,652,2265,22,snapshots/2026-09-01/2320.json.gz,,
2026-09-01T23:25:06+00:00,1,200,652,2265,30,snapshots/2026-09-01/2325.json.gz,,
2026-09-01T23:30:08+00:00,1,200,652,2265,32,snapshots/2026-09-01/2330.json.gz,,
2026-09-01T23:35:11+00:00,1,200,652,2265,21,snapshots/2026-09-01/2335.json.gz,,
2026-09-01T23:40:13+00:00,1,200,652,2265,20,snapshots/2026-09-01/2340.json.gz,,
2026-09-01T23:45:15+00:00,1,200,652,2265,29,snapshots/2026-09-01/2345.json.gz,,
2026-09-01T23:50:17+00:00,1,200,652,2265,32,snapshots/2026-09-01/2350.json.gz,,
2026-09-01T23:55:21+00:00,1,200,652,2265,28,snapshots/2026-09-01/2355.json.gz,,
2026-09-02T04:27:55+00:00,1,200,652,2265,155,snapshots/2026-09-02/0427.json.gz,,
2026-09-02T04:33:00+00:00,1,200,652,2265,14,snapshots/2026-09-02/0433.json.gz,,
2026-09-02T04:38:02+00:00,1,200,652,2265,14,snapshots/2026-09-02/0438.json.gz,,
2026-09-02T04:43:05+00:00,1,200,652,2265,8,snapshots/2026-09-02/0443.json.gz,,
2026-09-02T04:48:09+00:00,1,200,652,2265,12,snapshots/2026-09-02/0448.json.gz,,
2026-09-02T04:53:12+00:00,1,200,652,2265,10,snapshots/2026-09-02/0453.json.gz,,
2026-09-02T04:58:14+00:00,1,200,652,2265,12,snapshots/2026-09-02/0458.json.gz,,
2026-09-02T05:03:19+00:00,1,200,652,2265,15,snapshots/2026-09-02/0503.json.gz,,
2026-09-02T05:08:21+00:00,1,200,652,2265,12,snapshots/2026-09-02/0508.json.gz,,
2026-09-02T05:13:24+00:00,1,200,652,2265,14,snapshots/2026-09-02/0513.json.gz,,
2026-09-02T05:18:27+00:00,1,200,652,2265,11,snapshots/2026-09-02/0518.json.gz,,
2026-09-02T05:23:29+00:00,1,200,652,2265,10,snapshots/2026-09-02/0523.json.gz,,
2026-09-02T05:28:34+00:00,1,200,652,2265,17,snapshots/2026-09-02/0528.json.gz,,
2026-09-02T05:33:36+00:00,1,200,652,2265,10,snapshots/2026-09-02/0533.json.gz,,
2026-09-02T05:38:39+00:00,1,200,652,2265,20,snapshots/2026-09-02/0538.json.gz,,
2026-09-02T05:43:41+00:00,1,200,652,2265,16,snapshots/2026-09-02/0543.json.gz,,
2026-09-02T05:48:45+00:00,1,200,652,2265,24,snapshots/2026-09-02/0548.json.gz,,
2026-09-02T05:53:48+00:00,1,200,652,2265,15,snapshots/2026-09-02/0553.json.gz,,
2026-09-02T11:13:34+00:00,1,200,655,2273,120,snapshots/2026-09-02/1113.json.gz,,
2026-09-02T11:18:38+00:00,1,200,655,2273,12,snapshots/2026-09-02/1118.json.gz,,
2026-09-02T11:23:41+00:00,1,200,655,2273,19,snapshots/2026-09-02/1123.json.gz,,
2026-09-02T11:28:45+00:00,1,200,655,2273,14,snapshots/2026-09-02/1128.json.gz,,
2026-09-02T11:33:48+00:00,1,200,655,2273,15,snapshots/2026-09-02/1133.json.gz,,
2026-09-02T11:38:51+00:00,1,200,655,2273,22,snapshots/2026-09-02/1138.json.gz,,
2026-09-02T11:43:54+00:00,1,200,655,2273,20,snapshots/2026-09-02/1143.json.gz,,
2026-09-02T11:48:57+00:00,1,200,655,2273,14,snapshots/2026-09-02/1148.json.gz,,
2026-09-02T11:53:59+00:00,1,200,655,2273,8,snapshots/2026-09-02/1153.json.gz,,
2026-09-02T13:22:39+00:00,1,200,655,2273,126,snapshots/2026-09-02/1322.json.gz,,
2026-09-02T13:27:43+00:00,1,200,655,2273,23,snapshots/2026-09-02/1327.json.gz,,
2026-09-02T13:32:47+00:00,1,200,655,2273,28,snapshots/2026-09-02/1332.json.gz,,
2026-09-02T13:37:51+00:00,1,200,655,2273,28,snapshots/2026-09-02/1337.json.gz,,
2026-09-02T13:42:54+00:00,1,200,655,2273,32,snapshots/2026-09-02/1342.json.gz,,
2026-09-02T13:47:57+00:00,1,200,655,2273,23,snapshots/2026-09-02/1347.json.gz,,
2026-09-02T13:53:00+00:00,1,200,655,2273,21,snapshots/2026-09-02/1353.json.gz,,
2026-09-02T13:58:03+00:00,1,200,655,2273,25,snapshots/2026-09-02/1358.json.gz,,
2026-09-02T14:03:06+00:00,1,200,655,2273,22,snapshots/2026-09-02/1403.json.gz,,
2026-09-02T14:08:10+00:00,1,200,655,2273,27,snapshots/2026-09-02/1408.json.gz,,
2026-09-02T14:13:13+00:00,1,200,655,2273,26,snapshots/2026-09-02/1413.json.gz,,
2026-09-02T14:18:16+00:00,1,200,655,2273,32,snapshots/2026-09-02/1418.json.gz,,
2026-09-02T14:23:19+00:00,1,200,655,2273,29,snapshots/2026-09-02/1423.json.gz,,
2026-09-02T14:28:22+00:00,1,200,655,2273,30,snapshots/2026-09-02/1428.json.gz,,
2026-09-02T14:33:24+00:00,1,200,655,2273,33,snapshots/2026-09-02/1433.json.gz,,
2026-09-02T14:38:28+00:00,1,200,655,2273,29,snapshots/2026-09-02/1438.json.gz,,
2026-09-02T14:43:31+00:00,1,200,655,2273,22,snapshots/2026-09-02/1443.json.gz,,
2026-09-02T14:48:34+00:00,1,200,655,2273,28,snapshots/2026-09-02/1448.json.gz,,
2026-09-02T14:53:38+00:00,1,200,655,2273,35,snapshots/2026-09-02/1453.json.gz,,
2026-09-02T14:58:54+00:00,1,200,655,2273,32,snapshots/2026-09-02/1458.json.gz,,
2026-09-02T15:01:44+00:00,1,200,655,2273,14,snapshots/2026-09-02/1501.json.gz,,
2026-09-02T15:06:45+00:00,1,200,655,2273,34,snapshots/2026-09-02/1506.json.gz,,
2026-09-02T15:11:52+00:00,1,200,655,2273,31,snapshots/2026-09-02/1511.json.gz,,
2026-09-02T15:16:43+00:00,1,200,655,2273,36,snapshots/2026-09-02/1516.json.gz,,
2026-09-02T15:21:46+00:00,1,200,655,2273,21,snapshots/2026-09-02/1521.json.gz,,
2026-09-02T15:26:48+00:00,1,200,655,2273,25,snapshots/2026-09-02/1526.json.gz,,
2026-09-02T15:31:43+00:00,1,200,655,2273,31,snapshots/2026-09-02/1531.json.gz,,
2026-09-02T15:36:44+00:00,1,200,655,2273,31,snapshots/2026-09-02/1536.json.gz,,
2026-09-02T15:41:47+00:00,1,200,655,2273,41,snapshots/2026-09-02/1541.json.gz,,
2026-09-02T15:46:47+00:00,1,200,655,2273,27,snapshots/2026-09-02/1546.json.gz,,
2026-09-02T15:51:45+00:00,1,200,655,2273,41,snapshots/2026-09-02/1551.json.gz,,
2026-09-02T15:56:46+00:00,1,200,655,2273,31,snapshots/2026-09-02/1556.json.gz,,
2026-09-02T16:01:55+00:00,1,200,655,2273,24,snapshots/2026-09-02/1601.json.gz,,
2026-09-02T16:06:43+00:00,1,200,655,2273,29,snapshots/2026-09-02/1606.json.gz,,
2026-09-02T16:11:49+00:00,1,200,655,2273,29,snapshots/2026-09-02/1611.json.gz,,
2026-09-02T16:16:46+00:00,1,200,655,2273,39,snapshots/2026-09-02/1616.json.gz,,
2026-09-02T16:21:45+00:00,1,200,655,2273,24,snapshots/2026-09-02/1621.json.gz,,
2026-09-02T16:26:46+00:00,1,200,655,2273,34,snapshots/2026-09-02/1626.json.gz,,
2026-09-02T16:31:45+00:00,1,200,655,2273,26,snapshots/2026-09-02/1631.json.gz,,
2026-09-02T16:36:48+00:00,1,200,655,2273,42,snapshots/2026-09-02/1636.json.gz,,
2026-09-02T16:41:44+00:00,1,200,655,2273,28,snapshots/2026-09-02/1641.json.gz,,
2026-09-02T16:46:47+00:00,1,200,655,2273,34,snapshots/2026-09-02/1646.json.gz,,
2026-09-02T16:51:44+00:00,1,200,655,2273,32,snapshots/2026-09-02/1651.json.gz,,
2026-09-02T16:56:44+00:00,1,200,655,2273,35,snapshots/2026-09-02/1656.json.gz,,
2026-09-02T17:01:46+00:00,1,200,655,2273,41,snapshots/2026-09-02/1701.json.gz,,
2026-09-02T17:06:44+00:00,1,200,655,2273,30,snapshots/2026-09-02/1706.json.gz,,
2026-09-02T17:11:43+00:00,1,200,655,2273,33,snapshots/2026-09-02/1711.json.gz,,
2026-09-02T17:16:46+00:00,1,200,655,2273,41,snapshots/2026-09-02/1716.json.gz,,
2026-09-02T17:21:44+00:00,1,200,655,2273,26,snapshots/2026-09-02/1721.json.gz,,
2026-09-02T17:26:43+00:00,1,200,655,2273,34,snapshots/2026-09-02/1726.json.gz,,
2026-09-02T17:31:48+00:00,1,200,655,2273,33,snapshots/2026-09-02/1731.json.gz,,
2026-09-02T17:36:46+00:00,1,200,655,2273,27,snapshots/2026-09-02/1736.json.gz,,
2026-09-02T17:41:46+00:00,1,200,655,2273,28,snapshots/2026-09-02/1741.json.gz,,
2026-09-02T17:46:45+00:00,1,200,655,2273,29,snapshots/2026-09-02/1746.json.gz,,
2026-09-02T17:50:59+00:00,1,200,655,2273,27,snapshots/2026-09-02/1750.json.gz,,
2026-09-02T17:51:42+00:00,1,200,655,2273,11,snapshots/2026-09-02/1751.json.gz,,
2026-09-02T17:56:42+00:00,1,200,655,2273,23,snapshots/2026-09-02/1756.json.gz,,
2026-09-02T18:01:42+00:00,1,200,655,2273,18,snapshots/2026-09-02/1801.json.gz,,
2026-09-02T18:06:48+00:00,1,200,655,2273,35,snapshots/2026-09-02/1806.json.gz,,
2026-09-02T18:11:45+00:00,1,200,655,2273,23,snapshots/2026-09-02/1811.json.gz,,
2026-09-02T18:16:47+00:00,1,200,655,2273,35,snapshots/2026-09-02/1816.json.gz,,
2026-09-02T18:21:48+00:00,1,200,655,2273,23,snapshots/2026-09-02/1821.json.gz,,
2026-09-02T18:26:46+00:00,1,200,655,2273,31,snapshots/2026-09-02/1826.json.gz,,
2026-09-02T18:31:42+00:00,1,200,655,2273,28,snapshots/2026-09-02/1831.json.gz,,
2026-09-02T18:36:45+00:00,1,200,655,2273,29,snapshots/2026-09-02/1836.json.gz,,
2026-09-02T18:41:53+00:00,1,200,655,2273,30,snapshots/2026-09-02/1841.json.gz,,
2026-09-02T18:46:43+00:00,1,200,655,2273,25,snapshots/2026-09-02/1846.json.gz,,
2026-09-02T18:51:46+00:00,1,200,655,2273,29,snapshots/2026-09-02/1851.json.gz,,
2026-09-02T18:56:45+00:00,1,200,655,2273,18,snapshots/2026-09-02/1856.json.gz,,
2026-09-02T19:01:45+00:00,1,200,655,2273,25,snapshots/2026-09-02/1901.json.gz,,
2026-09-02T19:06:47+00:00,1,200,655,2273,29,snapshots/2026-09-02/1906.json.gz,,
2026-09-02T19:11:45+00:00,1,200,655,2273,25,snapshots/2026-09-02/1911.json.gz,,
2026-09-02T19:16:46+00:00,1,200,655,2273,22,snapshots/2026-09-02/1916.json.gz,,
2026-09-02T19:21:45+00:00,1,200,655,2273,31,snapshots/2026-09-02/1921.json.gz,,
2026-09-02T19:26:46+00:00,1,200,655,2273,24,snapshots/2026-09-02/1926.json.gz,,
2026-09-02T19:31:42+00:00,1,200,655,2273,23,snapshots/2026-09-02/1931.json.gz,,
2026-09-02T19:36:44+00:00,1,200,655,2273,30,snapshots/2026-09-02/1936.json.gz,,
2026-09-02T19:41:44+00:00,1,200,655,2273,24,snapshots/2026-09-02/1941.json.gz,,
2026-09-02T19:46:45+00:00,1,200,655,2273,32,snapshots/2026-09-02/1946.json.gz,,
2026-09-02T19:51:47+00:00,1,200,655,2273,30,snapshots/2026-09-02/1951.json.gz,,
2026-09-02T19:56:46+00:00,1,200,655,2273,34,snapshots/2026-09-02/1956.json.gz,,
2026-09-02T20:01:45+00:00,1,200,655,2273,32,snapshots/2026-09-02/2001.json.gz,,
2026-09-02T20:06:45+00:00,1,200,655,2273,28,snapshots/2026-09-02/2006.json.gz,,
2026-09-02T20:11:45+00:00,1,200,655,2273,32,snapshots/2026-09-02/2011.json.gz,,
2026-09-02T20:16:45+00:00,1,200,655,2273,23,snapshots/2026-09-02/2016.json.gz,,
2026-09-02T20:21:45+00:00,1,200,655,2273,30,snapshots/2026-09-02/2021.json.gz,,
2026-09-02T20:26:45+00:00,1,200,655,2273,36,snapshots/2026-09-02/2026.json.gz,,
2026-09-02T20:31:46+00:00,1,200,655,2273,25,snapshots/2026-09-02/2031.json.gz,,
2026-09-02T20:36:45+00:00,1,200,655,2273,26,snapshots/2026-09-02/2036.json.gz,,
2026-09-02T20:41:46+00:00,1,200,655,2273,33,snapshots/2026-09-02/2041.json.gz,,
2026-09-02T20:47:01+00:00,1,200,655,2273,32,snapshots/2026-09-02/2047.json.gz,,
2026-09-02T20:51:45+00:00,1,200,655,2273,24,snapshots/2026-09-02/2051.json.gz,,
2026-09-02T20:56:50+00:00,1,200,655,2273,28,snapshots/2026-09-02/2056.json.gz,,
2026-09-02T20:57:59+00:00,1,200,655,2273,5,snapshots/2026-09-02/2057.json.gz,,
2026-09-02T21:01:48+00:00,1,200,655,2273,19,snapshots/2026-09-02/2101.json.gz,,
2026-09-02T21:06:43+00:00,1,200,655,2273,31,snapshots/2026-09-02/2106.json.gz,,
2026-09-02T21:11:44+00:00,1,200,655,2273,30,snapshots/2026-09-02/2111.json.gz,,
2026-09-02T21:16:45+00:00,1,200,655,2273,13,snapshots/2026-09-02/2116.json.gz,,
2026-09-02T21:21:44+00:00,1,200,655,2273,28,snapshots/2026-09-02/2121.json.gz,,
2026-09-02T21:26:43+00:00,1,200,655,2273,26,snapshots/2026-09-02/2126.json.gz,,
2026-09-02T21:31:47+00:00,1,200,655,2273,28,snapshots/2026-09-02/2131.json.gz,,
2026-09-02T21:36:45+00:00,1,200,655,2273,34,snapshots/2026-09-02/2136.json.gz,,
2026-09-02T21:41:41+00:00,1,200,655,2273,29,snapshots/2026-09-02/2141.json.gz,,
2026-09-02T21:46:48+00:00,1,200,655,2273,21,snapshots/2026-09-02/2146.json.gz,,
2026-09-02T21:51:43+00:00,1,200,655,2273,30,snapshots/2026-09-02/2151.json.gz,,
2026-09-02T21:56:41+00:00,1,200,655,2273,22,snapshots/2026-09-02/2156.json.gz,,
2026-09-02T22:01:45+00:00,1,200,655,2273,34,snapshots/2026-09-02/2201.json.gz,,
2026-09-02T22:06:46+00:00,1,200,655,2273,40,snapshots/2026-09-02/2206.json.gz,,
2026-09-02T22:11:43+00:00,1,200,655,2273,25,snapshots/2026-09-02/2211.json.gz,,
